Year,DVR,ResTOU_shift,ResTOU_shed
2022.0,96.83088874576899,26.861498901931427,26.861498901931427
2023.0,192.46487900998383,53.311686140383856,53.311686140383856
2024.0,289.8642809712957,81.48361103631252,81.48361103631252
2025.0,389.90368780495027,82.7000180747525,82.7000180747525
2026.0,481.3221711191812,80.59232902666125,80.59232902666125
2027.0,497.5840143441664,84.97290511824492,84.97290511824492
2028.0,495.78345202158704,85.16922866015713,85.16922866015713
2029.0,488.70577985858216,82.8265163647545,82.8265163647545
2030.0,486.3172944155661,81.42190335380302,81.42190335380302
2031.0,495.7880629273328,83.83612991215716,83.83612991215716
2032.0,509.19603307956646,87.44257874218785,87.44257874218785
2033.0,498.98544848929976,84.34544351432581,84.34544351432581
2034.0,513.3138097436705,87.71806388042374,87.71806388042374
2035.0,523.8789860565562,90.57274325272749,90.57274325272749
2036.0,522.976638883538,89.35587197616752,89.35587197616752
2037.0,513.31170839193,86.3153342127498,86.3153342127498
2038.0,523.952325101473,88.84733210419888,88.84733210419888
2039.0,519.9678497352043,86.78243693386749,86.78243693386749
2040.0,532.9664405829598,89.88411977597485,89.88411977597485
2041.0,538.1002045226467,90.225605899644,90.225605899644
