Year,DVR,IndRTP,ResCPP,ComCPP,IndCPP
2022.0,46997.06551453647,0.0,21894.226738216894,9581.89594809451,8875.79844660659
2023.0,93413.21395725368,0.0,43453.20223624203,19030.733981940524,17866.225999298687
2024.0,140686.20849798032,0.0,65751.37356895329,28411.830960516876,27049.0639206089
2025.0,189240.53468350822,0.0,88977.23461910231,37872.4518733965,36438.82753205307
2026.0,233610.6783970368,0.0,108386.95588045959,47420.21631439761,45852.09268011262
2027.0,289804.0758359638,0.0,114278.30203342167,47989.95856735915,45981.30224352944
2028.0,336881.2860078139,0.0,114542.33350307305,47340.575486069116,46026.49445804408
2029.0,379510.9242654762,0.0,111391.66820689559,47400.72171976437,46054.048911912774
2030.0,424863.1286625309,0.0,109502.63322942582,47879.28469773773,46131.55150580668
2031.0,481263.4558358137,0.0,112749.47657824126,48288.752468960694,46302.209689396004
2032.0,494278.6260944675,0.0,117599.71499356684,48755.22736611609,46405.000342956504
2033.0,484367.17079035717,0.0,113434.4419042751,48625.7865865216,46399.139112483186
2034.0,498275.7683734199,0.0,117970.2092562878,49536.432652464384,46363.38897351103
2035.0,508531.4272810433,0.0,121809.40848176726,49880.30623169845,46405.79549456261
2036.0,507655.51527080586,0.0,120172.8634785689,50574.94123512832,46534.4104770248
2037.0,498273.72858288005,0.0,116083.70714822624,50489.694718985374,46759.24620562337
2038.0,508602.61778530024,0.0,119488.93872627281,51093.97199566705,46922.42135275605
2039.0,504734.8716093617,0.0,116711.90393366318,51695.679152059565,46988.721777888335
2040.0,517352.65573964146,0.0,120883.29301526494,52446.966148083695,47088.11852689236
2041.0,522336.0209309512,0.0,121342.55063775742,53422.78934206789,47170.360888715106
