,Year,NRIrrLg,NRIrrSmMed,DVR,IndRTP,ResCPP,ComCPP,IndCPP
0,2022.0,500.5668852133214,589.9538290014145,451.90890220538745,-4.927065601027883,406.2327353981878,215.31974115418396,183.14382382027642
1,2023.0,964.873803652169,1137.1726971614848,854.7430635882856,-0.8963405368233177,767.2099172394488,406.9443776197769,350.8042002161973
2,2024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2025.0,1902.0011941954594,2241.644264587506,1595.7414305624227,-3.7163516851782656,1447.7461178751287,746.31817886048,659.352169805568
4,2026.0,2155.3195626358597,2540.1980559636913,1764.135820534145,-6.66580103291354,1579.3613198057665,836.8644164574046,743.0245786174163
5,2027.0,1894.0656759125482,2232.2916894683603,1902.5714735504732,-15.172906379791478,1447.656155517805,736.2733992262712,647.7724140505547
6,2028.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2029.0,1574.8694111020482,1856.0960916559854,2016.1231828186578,-20.311366303689987,1141.8541656037228,588.4776586152043,525.0072375806182
8,2030.0,1626.5356695215496,1916.988467650398,2287.800321368072,-24.928957967073092,1137.7812887424843,602.5165363616937,533.0547598283243
9,2031.0,2303.2638563989813,2714.5609736130846,3616.0918655128926,1.939323578796646,1634.6931955800578,847.9198432956337,746.5570103349063
10,2032.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2033.0,1925.6038358692715,2269.46166370307,2957.599353275449,-8.56541341412914,1336.5177531559868,693.8786513975308,607.9659491345019
12,2034.0,1882.1882235454107,2218.293263464234,2927.4535891875375,-12.521353105771757,1337.3890147789255,680.138285747214,584.5209957869716
13,2035.0,1689.3754982222881,1991.0496943334108,2624.9285325617084,-14.23857209460553,1213.2370685898552,601.7014259372961,514.0159538270664
14,2036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2037.0,2316.5481627662803,2730.217477545973,3405.3436876209325,-5.466708413448068,1530.8385140783703,806.3952272794038,685.7489519872723
16,2038.0,2540.159347241753,2993.75923067778,3742.46759306916,-11.137122341508451,1696.5720647797798,878.6205694470234,740.9084758064301
17,2039.0,2506.609427293643,2954.2182535960796,3597.436485932708,-3.810800725932756,1605.1296933726378,861.0657462921654,718.6677331388382
18,2040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2041.0,1936.9501828397947,2282.8341440611866,2759.362132476356,-9.39820073381965,1236.906848309793,659.5345134817835,534.7276154996687
