Report_Hour,Emissions Rate Estimate
1,0.8706926549790235
2,0.8778116107690059
3,0.8894467773303489
4,0.9055462376939327
5,0.9034318170457342
6,0.9026804920531418
7,0.7242155211722384
8,0.6251279722088119
9,0.505465869867438
10,0.4857144429696574
11,0.49187545942761873
12,0.5081723858386892
13,0.5113293498963546
14,0.5156833534290632
15,0.5214202994847826
16,0.5299915517405854
17,0.5465477886831536
18,0.5434536550386148
19,0.5684288892983191
20,0.6626560899932643
21,0.7475962399833124
22,0.8120979145637849
23,0.7969108488713462
24,0.821903008252148
