,Report_Hour,Emissions Rate Estimate
0,1,0.9869881235084923
1,2,1.0005792168715986
2,3,1.0032970836972412
3,4,1.0145824386493343
4,5,1.0135311357540835
5,6,0.9948326222521521
6,7,0.840079330230687
7,8,0.7123475086906146
8,9,0.557577183279576
9,10,0.5326928934648993
10,11,0.5381411817533036
11,12,0.5561647592441732
12,13,0.5592092187342788
13,14,0.5626502099123614
14,15,0.5706295313722785
15,16,0.5825801068652159
16,17,0.6028766394325559
17,18,0.598631081049587
18,19,0.6250790998645142
19,20,0.7418459970015027
20,21,0.8460722561290808
21,22,0.858278015907383
22,23,0.8366889620967453
23,24,0.8973559340022358
