,Report_Hour,Emissions Rate Estimate,Season
0,1,0.6463851858961732,winter
1,2,0.6631771741289935,winter
2,3,0.681554625966287,winter
3,4,0.7034041502126491,winter
4,5,0.6993122350386946,winter
5,6,0.7118926665318448,winter
6,7,0.7568686309924109,winter
7,8,0.6562755935758217,winter
8,9,0.4626646162703834,winter
9,10,0.43115512414569135,winter
10,11,0.4277082946306425,winter
11,12,0.4258210896435726,winter
12,13,0.41496251268766315,winter
13,14,0.41519068623179106,winter
14,15,0.4174743589231357,winter
15,16,0.42582252230621365,winter
16,17,0.45645012761127346,winter
17,18,0.4636146624891638,winter
18,19,0.5056801348456815,winter
19,20,0.5554273479547022,winter
20,21,0.6981140730705149,winter
21,22,0.7134601482089882,winter
22,23,0.6757158647455371,winter
23,24,0.6824435076412021,winter
0,1,1.3901341640912181,summer
1,2,1.38817242766973,summer
2,3,1.3575182013327372,summer
3,4,1.3710745386533074,summer
4,5,1.409963987361516,summer
5,6,1.395465639961182,summer
6,7,0.8205581697089507,summer
7,8,0.7151587247717254,summer
8,9,0.6657408321361138,summer
9,10,0.6512418684413686,summer
10,11,0.6759707445097453,summer
11,12,0.7174360139695132,summer
12,13,0.7315170275685385,summer
13,14,0.7366912697358562,summer
14,15,0.7434609350293742,summer
15,16,0.7472040938117696,summer
16,17,0.7318778053637969,summer
17,18,0.7165965667586284,summer
18,19,0.7366240135421311,summer
19,20,0.765395366599605,summer
20,21,0.888240090514894,summer
21,22,0.9969460774909078,summer
22,23,0.9922010844123117,summer
23,24,1.1191195949000141,summer
0,1,0.9244450205380893,fall
1,2,0.9503880488160761,fall
2,3,0.9708184237926999,fall
3,4,0.9692686270820414,fall
4,5,0.9313171848620365,fall
5,6,0.8771395602634154,fall
6,7,0.9428111899907001,fall
7,8,0.7656082077243008,fall
8,9,0.5443261014322347,fall
9,10,0.5156816878076398,fall
10,11,0.5107445061195237,fall
11,12,0.5252371741194313,fall
12,13,0.5311481159466392,fall
13,14,0.5360686737694373,fall
14,15,0.5509533001643269,fall
15,16,0.5747137044776656,fall
16,17,0.6203019853225963,fall
17,18,0.6156820139009714,fall
18,19,0.6329331512057305,fall
19,20,0.9047152764501973,fall
20,21,0.9518626048018364,fall
21,22,0.8644278220222523,fall
22,23,0.8421499371323861,fall
23,24,0.8905046994654939,fall
