Year,DVR,ResTOU
2022.0,100.92922996753666,63.712778339824844
2023.0,200.61090304845072,126.44996671203484
2024.0,302.1327083998793,193.27094393499377
2025.0,406.40625611706946,196.1561392956129
2026.0,501.6940020545308,191.15691249815896
2027.0,518.6441234033066,201.54719915128908
2028.0,516.7673527665769,202.01285888064407
2029.0,509.3901200402485,196.45618053831078
2030.0,506.90054259574913,193.12457950790252
2031.0,516.7721588276632,198.8508825014959
2032.0,530.7476176964303,207.40501701724125
2033.0,520.1048728702444,200.05892322770038
2034.0,535.0396781460407,208.05844010477702
2035.0,546.0520226937653,214.82945294895535
2036.0,545.1114839202835,211.94315646212786
2037.0,535.0374878551548,204.73130617552414
2038.0,546.1284657939567,210.73695094627067
2039.0,541.9753485836213,205.83922693010123
2040.0,555.524101279381,213.19610720402423
2041.0,560.8751503916956,214.00607800211307
