Year,NRCurtailCom,NRCurtailInd,ResTOU,NRCoolSwchMed,ResBYOT
2022.0,6.9391214513059385,32.751442699272985,38.6138050544393,7.261039993823892,10.847703876367053
2023.0,13.781883577481516,65.92586352521398,76.6363434618393,14.724200850883797,21.90247082578776
2024.0,20.57558825069557,99.81027311447033,115.96256636099625,22.3489222261451,33.18446047978182
2025.0,27.42688343015238,134.45823258875367,156.92491143649033,30.11138280719126,44.665872598412
2026.0,34.341287156039435,169.19291206174296,191.15691249815896,38.131662142833946,56.340737957229905
2027.0,34.753889287252015,169.6696916594209,201.54719915128908,38.75863200204351,56.83611486645079
2028.0,34.28361199621224,169.8364496399039,202.01285888064407,39.3397049589572,57.33001047665085
2029.0,34.32716934881874,169.93812478748848,196.45618053831078,39.93708506817242,57.79566039376675
2030.0,34.67374028261354,170.22410714482015,193.12457950790252,40.56029890168148,58.270784715544
2031.0,34.97027309932367,170.85383096680758,198.8508825014959,41.11724525262221,58.736449137282484
2032.0,35.30808995549508,171.23312554186577,207.40501701724125,41.73276786497837,59.19910359348007
2033.0,35.21435012621456,171.21149776886608,200.05892322770038,42.40511554220931,59.66455228218955
2034.0,35.87383168236605,171.07958077738857,208.05844010477702,43.019501662929656,60.110606227371214
2035.0,36.1228617848767,171.23605962857602,214.82945294895535,43.758358771353656,60.56221898334882
2036.0,36.62591010425307,171.7106452395177,211.94315646212786,44.42919203961724,60.99868383147146
2037.0,36.56417535655584,172.54028265481537,204.73130617552414,45.141418127088684,61.42603771984877
2038.0,37.00178743623957,173.1423942860573,210.73695094627067,45.88831998920366,61.8582877696575
2039.0,37.437538258305,173.3870409606884,205.83922693010123,46.715432947212705,62.2719634743102
2040.0,37.98161343282565,173.75381212489205,213.19610720402423,47.42805906100071,62.67984440200722
2041.0,38.688295669278475,174.05728409047285,214.00607800211307,48.146892778127,63.08639861763136
