,Year,DVR,ResTOU_shift,ResTOU_shed
0,2022.0,15984.4325110428,-16457.087685301605,22245.069167398506
1,2023.0,30828.503460383457,-31899.767259267985,42839.4201075729
2,2024.0,39373.37467951291,-42165.207387368326,55526.259402815944
3,2025.0,49845.2785450347,-40324.22428042789,53038.65494327959
4,2026.0,55309.426124760714,-35596.17929188803,46459.785985630784
5,2027.0,54959.33019140248,-33784.70448435632,47084.25370470258
6,2028.0,47700.98716493875,-29069.15336566136,41109.128199304716
7,2029.0,47217.4525284806,-29554.13335384917,40146.22234178541
8,2030.0,43700.61813168473,-27870.109602703356,36705.346582873186
9,2031.0,45798.63651388188,-30738.65690677085,38851.511328696986
10,2032.0,42965.177907237296,-29473.444520555793,37014.74591964239
11,2033.0,41519.75518241575,-27552.86422790028,35208.59885728923
12,2034.0,42506.16307483325,-28019.859359874863,36439.986389496094
13,2035.0,44012.109604402176,-29304.97139082966,38173.232927028825
14,2036.0,46689.128735417,-31395.112176859744,40019.9729074204
15,2037.0,48392.0003642471,-31245.66813023355,40822.59175040269
16,2038.0,47361.63321698035,-31231.662594262372,40290.207366822055
17,2039.0,50960.20997466019,-32109.191082456462,42668.440661946406
18,2040.0,38906.79921275587,-25136.862521199422,32917.64997521913
19,2041.0,41617.233345654495,-26315.09229318341,35007.41706681439
