,Report_Hour,Baseline Emissions Rate Estimate
0,1,0.6277906987531896
1,2,0.6460453854755035
2,3,0.6647754711345009
3,4,0.6861316208892932
4,5,0.6790731282995353
5,6,0.6909129514076189
6,7,0.7394123417128187
7,8,0.6321813294119326
8,9,0.42771979689663087
9,10,0.39496992150010873
10,11,0.3932424882503035
11,12,0.3937499564400867
12,13,0.38450614955866
13,14,0.38567722252217385
14,15,0.38783309484964207
15,16,0.3946675354970775
16,17,0.4200492766064359
17,18,0.428022810814235
18,19,0.4737478011477703
19,20,0.5289217982720389
20,21,0.6810253978238727
21,22,0.7006555583319974
22,23,0.6591265238283047
23,24,0.6641926606832804
